<<<<<<< HEAD
"Experimental Method","Proteins","Nucleic Acids","Protein/NA Complex","Other","Total"
"X-Ray","124770","1993","6451","10","133224"
"NMR","10988","1273","257","8","12526"
"Electron Microscopy","2057","31","723","0","2811"
"Other","250","4","6","13","273"
=======
"Experimental Method","Proteins","Nucleic Acids","Protein/NA Complex","Other","Total"
"X-Ray","124770","1993","6451","10","133224"
"NMR","10988","1273","257","8","12526"
"Electron Microscopy","2057","31","723","0","2811"
"Other","250","4","6","13","273"
>>>>>>> 89ef1019e68c7d6fa279e87dcff261b4c376e2c4
"Multi Method","127","5","2","1","135"
